#,Chastota,Kategoriya,Bo'lim,Kalit,Ish (UZ),Ish (RU),Dalil
28,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.pc,Kompyuterni yoqish,Включить компьютер,
29,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.crm,CRM / tibbiy dastur ishga tushirish,Запустить CRM / медицинскую программу,
30,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.net,Internet va telefon ishlashini tekshirish,Проверить работу интернета и телефона,
31,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.tv,TV reklama rollarini yoqish,Включить телевизор с рекламными роликами клиники,
32,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.music,Fon musiqasini yoqish,Включить фоновую музыку,
33,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.clean,Retsepshn va holl tozaligini tekshirish,Проверить чистоту зоны ресепшен и холла,
34,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.water,"Suv, stakan, salfetka borligini tekshirish","Проверить наличие питьевой воды, стаканчиков, салфеток",
35,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.docs,"Anketa, shartnoma, rozilik hujjatlari","Проверить наличие анкет, договоров, согласий и документации",
36,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.cash,"Kassa lentasi, terminal, mayda pul","Проверить кассовую ленту, терминал и разменные деньги",
37,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.schedule,Bugungi shifokorlar jadvalini koʻrish,Ознакомиться с расписанием врачей на текущий день,
38,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.appointments,Bemorlar yozuvlarini tekshirish,Проверить записи пациентов,
39,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.confirm_calls,Bugungi bemorlarni qoʻngʻiroq qilib tasdiqlash,Обзвонить пациентов на сегодня и подтвердить визит,
40,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.confirm_msg,Javob bermaganlarga yozish,"Написать пациентам, которые не ответили на звонок",
41,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.notify_doctors,Jadval oʻzgarishlarini shifokorlarga aytish,Сообщить врачам обо всех изменениях в расписании,
42,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.supplies,Retsepshn sarf materiallarini tekshirish,Проверить наличие расходных материалов на ресепшен,
43,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.smile,Har bir bemorni tabassum bilan kutib olish,Встречать каждого пациента с улыбкой,
44,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.drinks,"Choy, kofe yoki suv taklif qilish","Предлагать чай, кофе или воду",
45,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.new_patient,Yangi bemorlarni rasmiylashtirish,Оформлять новых пациентов,
46,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.docs_check,Hujjatlar toʻgʻri toʻldirilganini tekshirish,Проверять правильность заполнения документов,
47,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.crm_enter,Bemor maʼlumotlarini dasturga kiritish,Вносить данные пациентов в программу,
48,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.payment,Toʻlov qabul qilish va chek berish,Принимать оплату и выдавать чеки,
49,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.rebook,Takroriy qabulga yozish,Записывать пациентов на повторные приемы,
50,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.phone,Telefon qoʻngʻiroqlariga javob,Отвечать на телефонные звонки,
51,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.messengers,Telegram / WhatsApp / SMS javoblari,"Отвечать на сообщения в Telegram, WhatsApp, SMS",
52,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.on_time,Qabul vaqtida olib borilishini nazorat,Контролировать своевременный прием пациентов,
53,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.notify_arrival,Bemor kelganini shifokorga aytish,Информировать врача о прибытии пациента,
54,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.waiting,Kutish zonasida tartib,Следить за порядком в зоне ожидания,
55,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.upsell,Shifokor tavsiyasi boʻyicha qoʻshimcha xizmat/mahsulot,Предлагать сопутствующие процедуры и товары по рекомендациям врача,
56,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.waitlist,Bekor boʻlsa — kutish roʻyxatidagilarga vaqt taklif,При отмене — предлагать время пациентам из листа ожидания,
57,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.reschedule,Bekor boʻlsa — boshqa qulay vaqtga qayta yozish,При отмене — перезаписывать на другое удобное время,
58,DAILY,Administrator · kunlik,Ish kuni davomida,reception.day.daily_report,Kunlik hisobot: murojaat / yozuv / toʻlov,"Вести ежедневный отчет по обращениям, записям и оплатам",
59,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.confirm_next,Ertangi bemorlarni tasdiqlash,Подтвердить записи пациентов на следующий день,
60,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.schedule,Shifokorlar jadvalini tekshirish,Проверить расписание врачей,
61,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.docs,Ertangi kun uchun hujjatlarni tayyorlash,Подготовить документы на следующий день,
62,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.cash_report,Kassa hisoboti,Сделать кассовый отчет,
63,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.reconcile,Naqd va terminalni solishtirish,Сверить наличные и терминал,
64,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.tv_off,TV ni oʻchirish,Выключить телевизор,
65,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.music_off,Musiqani oʻchirish,Выключить музыку,
66,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.crm_off,Dasturni yopish,Закрыть программу,
67,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.pc_off,Kompyuterni oʻchirish,Выключить компьютер,
68,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.windows,Deraza va eshiklar yopiqligini tekshirish,"Проверить, закрыты ли окна и двери",
69,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.lights_off,Yorugʻlikni oʻchirish,Выключить свет,
70,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.alarm_on,Signalizatsiyani yoqish,Включить сигнализацию,
71,DAILY,Administrator · kunlik,Ish kuni oxirida,reception.evening.lock,Klinikani yopish,Закрыть клинику,
72,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.ring3,Telefon 3-chaqiruqqacha koʻtariladi,Телефон поднят не позднее 3-го гудка,
73,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.stand,Har bir bemor tik turib kutib olinadi,Каждый пациент встречен стоя,
74,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.name,Bemorga ismi bilan murojaat,Обращаться к пациенту по имени,
75,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.no_idk,«Bilmayman» demaslik — aniqlab javob berish,Никогда не говорить «не знаю» — уточнить и дать ответ,
76,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.no_phone,Bemor oldida shaxsiy telefon ishlatmaslik,Не пользоваться личным телефоном при пациентах,
77,DAILY,Administrator · kunlik,Radeski ish standartlari,reception.standards.order,Retsepshnda doim tartib,Всегда поддерживать порядок на ресепшен,
78,DAILY,calls,Yangi bemorlar,calls.new.list,Roʻyxat tayyorlandi,Список подготовлен,
79,DAILY,calls,Yangi bemorlar,calls.new.script,Skript boʻyicha gaplashildi,Разговор по скрипту,
80,DAILY,calls,Yangi bemorlar,calls.new.crm,CRM ga yozildi,Внесено в CRM,
81,DAILY,calls,Yangi bemorlar,calls.new.follow,Keyingi aloqa belgilangan,Назначен follow-up,
82,DAILY,calls,Takroriy bemorlar,calls.repeat.list,Roʻyxat tayyor,Список готов,
83,DAILY,calls,Takroriy bemorlar,calls.repeat.remind,Eslatma berildi,Напоминание сделано,
84,DAILY,calls,Takroriy bemorlar,calls.repeat.crm,CRM yangilandi,CRM обновлён,
85,DAILY,calls,Oʻtkazib yuborilgan,calls.missed.check,Missed log tekshirildi,Лог пропущенных проверен,
86,DAILY,calls,Oʻtkazib yuborilgan,calls.missed.same_day,Shu kuni qaytarildi,Перезвонили в тот же день,
87,DAILY,calls,Oʻtkazib yuborilgan,calls.missed.crm,Sabab CRM da,Причина в CRM,
88,DAILY,calls,Sifat nazorati,calls.quality.tone,Ohang va odob,Тон и этикет,
89,DAILY,calls,Sifat nazorati,calls.quality.info,Narx / manzil aniq,Цена / адрес ясно,
90,DAILY,calls,Sifat nazorati,calls.quality.record,Yozuv namunasi tinglandi,Прослушан пример записи,
91,DAILY,Sharhlar · kunlik,Yigʻish,reviews.collect.qr,QR orqali soʻraldi,Попросили через QR,
92,DAILY,Sharhlar · kunlik,Yigʻish,reviews.collect.google,Google / Yandex soʻraldi,Попросили Google / Yandex,
93,DAILY,Sharhlar · kunlik,Yigʻish,reviews.collect.ig,Instagram sharh,Отзыв в Instagram,
94,DAILY,Sharhlar · kunlik,Ishlov,reviews.handle.read,Barcha sharhlar oʻqildi,Все отзывы прочитаны,
95,DAILY,Sharhlar · kunlik,Ishlov,reviews.handle.reply,Javob berildi,Ответы даны,
96,DAILY,Sharhlar · kunlik,Ishlov,reviews.handle.negative,Salbiy → admin xabardor,Негатив → админ уведомлён,Majburiy
97,DAILY,Sharhlar · kunlik,Ishlov,reviews.handle.photo,Dalil / screenshot,Доказательство / скрин,Majburiy
98,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.gown,Xalatlar toza,Халаты чистые,
99,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.condition,Forma holati,Состояние формы,
100,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.badge,Bedj taqilgan,Бейдж надет,
101,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.shoes,Poyabzal / koʻrinish,Обувь / внешний вид,
102,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.hair,Soch / gigiyena,Волосы / гигиена,
103,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.standard,Korporativ standart,Корпоративный стандарт,Majburiy
104,DAILY,Uniforma · kunlik,Kunlik tekshiruv,uniform.check.photo,Jamoa fotosurati (dalil),Фото команды (доказательство),Majburiy
105,DAILY,SMM / SEO · kunlik,Ijtimoiy tarmoqlar,smm.social.ig_story,Instagram Stories,Instagram Stories,
106,DAILY,SMM / SEO · kunlik,Ijtimoiy tarmoqlar,smm.social.ig_post,Instagram post / reels,Instagram пост / reels,
107,DAILY,SMM / SEO · kunlik,Ijtimoiy tarmoqlar,smm.social.tg,Telegram post,Пост в Telegram,
108,DAILY,SMM / SEO · kunlik,Ijtimoiy tarmoqlar,smm.social.reply,Izoh / DM javoblari,Ответы на комментарии / DM,
109,DAILY,SMM / SEO · kunlik,Ijtimoiy tarmoqlar,smm.social.stats,Kunlik statistika yozildi,Дневная статистика записана,
110,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.speed,Sayt tezligi tekshirildi,Скорость сайта проверена,
111,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.links,Havolalar / CTA ishlaydi,Ссылки / CTA работают,
112,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.meta,Meta / title yangilandi,Meta / title обновлены,
113,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.content,Kontent reja belgilangan,Контент-план отмечен,Majburiy
114,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.article,Websaytga maqola joylandi,Статья опубликована на сайте,Majburiy
115,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.video,Websaytga video joylandi,Видео опубликовано на сайте,Majburiy
116,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.images_alt,Rasmlar alt matni tekshirildi,Проверены alt у изображений,
117,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.search_console,Search Console / indeks holati,Search Console / индексация,
118,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.internal_links,Ichki havolalar yangilandi,Обновлены внутренние ссылки,
119,DAILY,SMM / SEO · kunlik,SEO / sayt,smm.seo.faq_schema,FAQ / schema belgilari,FAQ / разметка schema,
120,DAILY,Marketing · kunlik,Lidlar,marketing.leads.inbox,Inbox / soʻrovlar koʻrildi,Inbox / заявки просмотрены,
121,DAILY,Marketing · kunlik,Lidlar,marketing.leads.assign,Lidlar taqsimlandi,Лиды распределены,
122,DAILY,Marketing · kunlik,Lidlar,marketing.leads.ads,Reklama kabineti holati,Статус рекламного кабинета,
123,DAILY,Marketing · kunlik,Lidlar,marketing.leads.budget,Kunlik byudjet nazorati,Контроль дневного бюджета,
124,DAILY,Marketing · kunlik,Offline,marketing.offline.flyers,Flayerlar joyida,Флаеры на месте,
125,DAILY,Marketing · kunlik,Offline,marketing.offline.partners,Hamkorlar bilan aloqa,Связь с партнёрами,
126,WEEKLY,Marketing · kunlik,Offline,marketing.offline.promo,Aksiya eslatmasi,Напоминание об акции,
127,WEEKLY,Klinika · haftalik,Chuqur tekshiruv,clinic_w.deep.inventory,Ombor inventarizatsiyasi,Инвентаризация склада,Majburiy
128,WEEKLY,Klinika · haftalik,Chuqur tekshiruv,clinic_w.deep.equipment,Uskunalar holati,Состояние оборудования,
129,WEEKLY,Klinika · haftalik,Chuqur tekshiruv,clinic_w.deep.repair,Taʼmir / nosozliklar,Ремонт / неисправности,Majburiy
130,WEEKLY,Klinika · haftalik,Chuqur tekshiruv,clinic_w.deep.photo,Haftalik foto-audit,Еженедельный фото-аудит,Majburiy
131,WEEKLY,Klinika · haftalik,Chuqur tekshiruv,clinic_w.deep.sterile,Sterilizatsiya jurnalini tekshirish,Проверка журнала стерилизации,Majburiy
132,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.schedule,Grafik / smena tahlili,Анализ графика / смен,
133,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.training,Skript trening,Тренинг по скрипту,
134,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.complaints,Shikoyatlar tahlili,Анализ жалоб,
135,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.cash,Kassa / toʻlovlar tekshiruvi,Проверка кассы / оплат,
136,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.waitlist,Kutish roʻyxatini yangilash,Обновить лист ожидания,
137,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.noshow,No-show statistikasi,Статистика no-show,
138,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.mystery,Mystery patient / sifat nazorati,Mystery patient / контроль качества,
139,WEEKLY,Administrator · haftalik,Operatsiyalar,reception_w.ops.standards,Radeski standartlar audit (haftalik),Аудит стандартов Radeski (неделя),
140,WEEKLY,calls_w,Tahlil,calls_w.analytics.conversion,Konversiya hisobi,Расчёт конверсии,
141,WEEKLY,calls_w,Tahlil,calls_w.analytics.missed,Missed trend,Тренд пропущенных,
142,WEEKLY,calls_w,Tahlil,calls_w.analytics.best,Eng yaxshi qoʻngʻiroqlar,Лучшие звонки,
143,WEEKLY,calls_w,Tahlil,calls_w.analytics.script_upd,Skript yangilandi,Скрипт обновлён,
144,WEEKLY,calls_w,Tahlil,calls_w.analytics.report,Haftalik qoʻngʻiroq hisoboti,Недельный отчёт по звонкам,
145,WEEKLY,Sharhlar · haftalik,Haftalik xulosa,reviews_w.summary.count,Jami sharhlar hisobi,Итог по отзывам,
146,WEEKLY,Sharhlar · haftalik,Haftalik xulosa,reviews_w.summary.rating,Reyting oʻzgarishi,Изменение рейтинга,
147,WEEKLY,Sharhlar · haftalik,Haftalik xulosa,reviews_w.summary.plan,Yaxshilash rejasi,План улучшений,
148,WEEKLY,Sharhlar · haftalik,Haftalik xulosa,reviews_w.summary.reply_all,Barcha platformalarda javoblar,Ответы на всех площадках,
149,WEEKLY,Uniforma · haftalik,Forma zaxirasi,uniform_w.stock.count,Xalat / bedj soni,Кол-во халатов / бейджей,
150,WEEKLY,Uniforma · haftalik,Forma zaxirasi,uniform_w.stock.laundry,Kir yuvish jadvali,График стирки,
151,WEEKLY,Uniforma · haftalik,Forma zaxirasi,uniform_w.stock.order,Yangi buyurtma kerakmi,Нужен ли новый заказ,
152,WEEKLY,SMM / SEO · haftalik,Kontent,smm_w.content.plan,Kontent-reja bajarildi,Контент-план выполнен,
153,WEEKLY,SMM / SEO · haftalik,Kontent,smm_w.content.reels,Reels / Shorts,Reels / Shorts,
154,WEEKLY,SMM / SEO · haftalik,Kontent,smm_w.content.seo_article,SEO maqola / yangilik,SEO статья / новость,
155,WEEKLY,SMM / SEO · haftalik,Kontent,smm_w.content.analytics,Haftalik analytics,Недельная аналитика,
156,WEEKLY,SMM / SEO · haftalik,Kontent,smm_w.content.competitors,Raqobatchilar monitoring,Мониторинг конкурентов,
157,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.articles_week,Haftada kamida 1 ta sayt maqolasi,Минимум 1 статья на сайте за неделю,Majburiy
158,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.videos_week,Haftada sayt/YouTube video,Видео на сайт/YouTube за неделю,Majburiy
159,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.sitemap,Sitemap / robots tekshiruvi,Проверка sitemap / robots,
160,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.keywords,Kalit soʻzlar reytingi,Позиции по ключевым словам,
161,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.backlinks,Tashqi havolalar / kataloglar,Внешние ссылки / каталоги,
162,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.local,Google Business / lokal SEO,Google Business / локальное SEO,
163,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.broken,404 / buzilgan havolalar,404 / битые ссылки,Majburiy
164,WEEKLY,SMM / SEO · haftalik,Websayt SEO,smm_w.seo.landing,Landing / xizmat sahifasi yangilandi,Обновлена landing / услуга,Majburiy
165,WEEKLY,Marketing · haftalik,Oʻsish,marketing_w.growth.ads_report,Reklama hisoboti,Отчёт по рекламе,
166,WEEKLY,Marketing · haftalik,Oʻsish,marketing_w.growth.roi,ROI / CPL tahlili,Анализ ROI / CPL,
167,WEEKLY,Marketing · haftalik,Oʻsish,marketing_w.growth.blogger,Bloger / influencer,Блогер / инфлюенсер,
168,WEEKLY,Marketing · haftalik,Oʻsish,marketing_w.growth.partners,Hamkorlik kelishuvi,Партнёрские договорённости,
169,WEEKLY,Marketing · haftalik,Oʻsish,marketing_w.growth.flyers,Tarqatma hisobi,Отчёт по раздаче,
170,MONTHLY,Klinika · oylik,Oylik audit,clinic_m.audit.full,Toʻliq klinika auditi,Полный аудит клиники,Majburiy
171,MONTHLY,Klinika · oylik,Oylik audit,clinic_m.audit.licenses,Litsenziya / hujjatlar,Лицензии / документы,Majburiy
172,MONTHLY,Klinika · oylik,Oylik audit,clinic_m.audit.vendor,Yetkazib beruvchilar,Поставщики,
173,MONTHLY,Klinika · oylik,Oylik audit,clinic_m.audit.budget,Ehtiyot material byudjeti,Бюджет расходников,
174,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.kpi,Administrator KPI bahosi,Оценка KPI администратора,
175,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.feedback,Xodim feedback,Обратная связь сотрудникам,
176,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.hire,Yangi xodim / ehtiyoj,Нужна ли новая ставка,
177,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.training,Oylik trening rejasi,План месячного тренинга,
178,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.standards,Radeski standartlar oylik audit,Месячный аудит стандартов Radeski,
179,MONTHLY,Administrator · oylik,Jamoa va sifat,reception_m.hr.cash_month,Oylik kassa yakuni,Итог кассы за месяц,
180,MONTHLY,calls_m,Oylik funnell,calls_m.month.report,Toʻliq qoʻngʻiroq hisoboti,Полный отчёт по звонкам,
181,MONTHLY,calls_m,Oylik funnell,calls_m.month.target,Keyingi oy target,Цель на следующий месяц,
182,MONTHLY,calls_m,Oylik funnell,calls_m.month.script,Skript yangilanishi,Обновление скрипта,
183,MONTHLY,Sharhlar · oylik,Obroʻ,reviews_m.reputation.platforms,Barcha platformalar tekshiruvi,Проверка всех площадок,
184,MONTHLY,Sharhlar · oylik,Obroʻ,reviews_m.reputation.campaign,Sharh kampaniyasi,Кампания по отзывам,
185,MONTHLY,Sharhlar · oylik,Obroʻ,reviews_m.reputation.nps,NPS / qoniqish bahosi,NPS / оценка удовлетворённости,
186,MONTHLY,Uniforma · oylik,Brend,uniform_m.brand.refresh,Forma yangilash rejasi,План обновления формы,Majburiy
187,MONTHLY,Uniforma · oylik,Brend,uniform_m.brand.photo,Brend foto sessiyasi,Бренд-фотосессия,Majburiy
188,MONTHLY,SMM / SEO · oylik,Strategiya,smm_m.strategy.report,Oylik SMM hisobot,Месячный SMM отчёт,
189,MONTHLY,SMM / SEO · oylik,Strategiya,smm_m.strategy.seo_audit,SEO audit,SEO аудит,
190,MONTHLY,SMM / SEO · oylik,Strategiya,smm_m.strategy.calendar,Keyingi oy kalendar,Календарь на следующий месяц,
191,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.content_volume,Oylik maqolalar soni (hisobot),Отчёт: число статей за месяц,Majburiy
192,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.video_volume,Oylik videolar soni (hisobot),Отчёт: число видео за месяц,Majburiy
193,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.traffic,Organik trafik hisoboti,Отчёт по органическому трафику,
194,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.tech,"Texnik SEO (tezlik, mobile, HTTPS)","Техническое SEO (скорость, mobile, HTTPS)",
195,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.competitors,Raqobatchilar SEO tahlili,SEO-анализ конкурентов,
196,MONTHLY,SMM / SEO · oylik,Websayt SEO · oylik,smm_m.seo.plan_next,Keyingi oy SEO kontent rejasi,План SEO-контента на след. месяц,
197,MONTHLY,Marketing · oylik,Katta marketing,marketing_m.big.tv,TV / radio reklama,Реклама ТВ / радио,
198,MONTHLY,Marketing · oylik,Katta marketing,marketing_m.big.budget,Oylik byudjet yakuni,Итог месячного бюджета,
199,MONTHLY,Marketing · oylik,Katta marketing,marketing_m.big.campaign,Yangi kampaniya rejasi,План новой кампании,
200,MONTHLY,Marketing · oylik,Katta marketing,marketing_m.big.doctor,Shifokorlar referral,Рефералы врачей,
201,MONTHLY,Marketing · oylik,Katta marketing,marketing_m.big.events,Event / ochiq kun,Ивент / открытый день,
